Date,Description,Deposits,Withdrawls,Balance,Customer Id,Index,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website
20-Aug-2020,Cash,"97,540.00",00.00,"170,542.01",Fbd8FAaD2ccC03F,677,Dillon,Soto,"Avery, Torres and Arellano",Davidberg,Cote d'Ivoire,+1-799-961-3002,+1-035-693-9215x7273,diane91@rocha.net,2021-09-22,http://www.mccormick.com/
20-Aug-2020,Commission,00.00,"34,108.40","136,433.61",ad72E2c53510Aed,8171,Douglas,Bennett,Hatfield Group,Devonmouth,Mauritius,3783301320,+1-561-310-2412x632,ericamorales@ball-arias.com,2021-11-15,https://www.ray.com/
20-Aug-2020,ATM,41.00,00.00,"136,474.61",59aa3f2dabdf86f,9230,Virginia,Haas,Fleming Ltd,Rebekahport,Bahamas,001-094-405-1821,+1-436-914-2970x9592,devonduke@church.info,2020-10-20,http://bennett.com/
20-Aug-2020,Interest,50.00,00.00,"136,524.61",b1BabAFCce090F5,9791,Alejandro,Cameron,Richardson Ltd,Louisburgh,Senegal,426.235.9969x94451,(317)642-6419x2108,alan20@willis.org,2021-02-12,https://www.gallegos.com/
20-Aug-2020,Commission,00.00,"34,131.15","102,393.46",bE13C300faDAE19,7864,Jonathan,Atkins,Zuniga-Lynch,New Jeromeport,Seychelles,(070)902-6164,(832)818-1234x902,alicevelasquez@pena-parker.biz,2020-01-09,http://www.boyle.com/
20-Aug-2020,Reversal,00.00,"17,065.58","85,327.88",eC7903DBFB7b465,506,Anthony,Jackson,Fuller LLC,East Rodney,Faroe Islands,(242)730-8145x398,612.240.1690,micheal09@johnson-barajas.com,2021-07-19,https://olsen.org/
20-Aug-2020,Reversal,"204,765.00",00.00,"290,092.88",dE1Be6D9c110A1B,9084,Phyllis,Olsen,Stewart LLC,South Andrea,Thailand,+1-461-084-6696,(116)473-2469,sandynorris@juarez-blevins.com,2021-12-21,https://kane.com/
20-Aug-2020,Cheque,"53,121.00",00.00,"343,213.88",16E6BFdbD035E27,5108,Daryl,Harvey,Huynh-Tate,New Danaview,Maldives,+1-086-168-5195,314.205.4122,fbuckley@durham.com,2020-06-12,https://www.larsen-parks.com/
20-Aug-2020,NEFT,07.10,00.00,"343,220.98",D3c3bcBEeD5FFFe,3638,Fernando,Hogan,Young-Boyle,East Darrellbury,Vietnam,+1-381-509-8285,+1-390-729-4715x650,unolan@white-key.biz,2020-09-13,https://www.mitchell.com/
20-Aug-2020,IMPS,03.46,00.00,"343,224.44",025d9B97DEaB5cf,6728,Kelsey,Strickland,Ruiz Inc,Marshfort,Andorra,001-697-158-3924x915,455.626.8086x437,cheyenneguerra@burke.com,2020-10-23,http://robertson.com/
20-Aug-2020,Transfer,03.00,00.00,"343,227.44",8734c8EaAb96ba2,4069,Karen,Fuller,Davenport-Arroyo,South Johnny,Syrian Arab Republic,001-803-485-1064x84202,469-911-1776,lozanodebra@freeman.net,2022-01-10,http://www.fitzpatrick.com/
